Country Name,Year,Indicator Name,Value
Fiji,2020,Number of infant deaths,380
Fiji,2019,Number of infant deaths,365
Fiji,2018,Number of infant deaths,348
Fiji,2017,Number of infant deaths,334
Fiji,2016,Number of infant deaths,323
Fiji,2015,Number of infant deaths,316
Fiji,2014,Number of infant deaths,313
Fiji,2013,Number of infant deaths,313
Fiji,2012,Number of infant deaths,318
Fiji,2011,Number of infant deaths,328
Fiji,2010,Number of infant deaths,343
Fiji,2009,Number of infant deaths,356
Fiji,2008,Number of infant deaths,367
Fiji,2007,Number of infant deaths,372
Fiji,2006,Number of infant deaths,370
Fiji,2005,Number of infant deaths,364
Fiji,2004,Number of infant deaths,358
Fiji,2003,Number of infant deaths,352
Fiji,2002,Number of infant deaths,345
Fiji,2001,Number of infant deaths,340
Fiji,2000,Number of infant deaths,340
Fiji,1999,Number of infant deaths,344
Fiji,1998,Number of infant deaths,351
Fiji,1997,Number of infant deaths,362
Fiji,1996,Number of infant deaths,373
Fiji,1995,Number of infant deaths,384
Fiji,1994,Number of infant deaths,400
Fiji,1993,Number of infant deaths,420
Fiji,1992,Number of infant deaths,442
Fiji,1991,Number of infant deaths,465
Fiji,1990,Number of infant deaths,487
Fiji,1989,Number of infant deaths,509
Fiji,1988,Number of infant deaths,532
Fiji,1987,Number of infant deaths,555
Fiji,1986,Number of infant deaths,582
Fiji,1985,Number of infant deaths,614
Fiji,1984,Number of infant deaths,642
Fiji,1983,Number of infant deaths,663
Fiji,1982,Number of infant deaths,682
Fiji,1981,Number of infant deaths,702
Fiji,1980,Number of infant deaths,722
Fiji,1979,Number of infant deaths,739
Fiji,1978,Number of infant deaths,751
Fiji,1977,Number of infant deaths,760
Fiji,1976,Number of infant deaths,763
Fiji,1975,Number of infant deaths,757
Fiji,1974,Number of infant deaths,757
Fiji,1973,Number of infant deaths,770
Fiji,1972,Number of infant deaths,788
Fiji,1971,Number of infant deaths,805
Fiji,1970,Number of infant deaths,817
Fiji,1969,Number of infant deaths,831
Fiji,1968,Number of infant deaths,846
Fiji,1967,Number of infant deaths,870
Fiji,1966,Number of infant deaths,900
Fiji,1965,Number of infant deaths,931
Fiji,1964,Number of infant deaths,963
Fiji,1963,Number of infant deaths,994
Fiji,1962,Number of infant deaths,1011
Fiji,1961,Number of infant deaths,1027
Fiji,1960,Number of infant deaths,1056
Fiji,2020,Number of under-five deaths,478
Fiji,2019,Number of under-five deaths,462
Fiji,2018,Number of under-five deaths,443
Fiji,2017,Number of under-five deaths,427
Fiji,2016,Number of under-five deaths,415
Fiji,2015,Number of under-five deaths,407
Fiji,2014,Number of under-five deaths,406
Fiji,2013,Number of under-five deaths,410
Fiji,2012,Number of under-five deaths,420
Fiji,2011,Number of under-five deaths,437
Fiji,2010,Number of under-five deaths,457
Fiji,2009,Number of under-five deaths,476
Fiji,2008,Number of under-five deaths,491
Fiji,2007,Number of under-five deaths,498
Fiji,2006,Number of under-five deaths,496
Fiji,2005,Number of under-five deaths,490
Fiji,2004,Number of under-five deaths,483
Fiji,2003,Number of under-five deaths,475
Fiji,2002,Number of under-five deaths,469
Fiji,2001,Number of under-five deaths,465
Fiji,2000,Number of under-five deaths,467
Fiji,1999,Number of under-five deaths,473
Fiji,1998,Number of under-five deaths,483
Fiji,1997,Number of under-five deaths,497
Fiji,1996,Number of under-five deaths,513
Fiji,1995,Number of under-five deaths,530
Fiji,1994,Number of under-five deaths,550
Fiji,1993,Number of under-five deaths,576
Fiji,1992,Number of under-five deaths,604
Fiji,1991,Number of under-five deaths,632
Fiji,1990,Number of under-five deaths,660
Fiji,1989,Number of under-five deaths,688
Fiji,1988,Number of under-five deaths,718
Fiji,1987,Number of under-five deaths,747
Fiji,1986,Number of under-five deaths,779
Fiji,1985,Number of under-five deaths,815
Fiji,1984,Number of under-five deaths,845
Fiji,1983,Number of under-five deaths,869
Fiji,1982,Number of under-five deaths,891
Fiji,1981,Number of under-five deaths,913
Fiji,1980,Number of under-five deaths,935
Fiji,1979,Number of under-five deaths,955
Fiji,1978,Number of under-five deaths,969
Fiji,1977,Number of under-five deaths,980
Fiji,1976,Number of under-five deaths,988
Fiji,1975,Number of under-five deaths,987
Fiji,1974,Number of under-five deaths,992
Fiji,1973,Number of under-five deaths,1010
Fiji,1972,Number of under-five deaths,1031
Fiji,1971,Number of under-five deaths,1049
Fiji,1970,Number of under-five deaths,1064
Fiji,1969,Number of under-five deaths,1079
Fiji,1968,Number of under-five deaths,1098
Fiji,1967,Number of under-five deaths,1126
Fiji,1966,Number of under-five deaths,1160
Fiji,1965,Number of under-five deaths,1194
Fiji,1964,Number of under-five deaths,1231
Fiji,1963,Number of under-five deaths,1268
Fiji,1962,Number of under-five deaths,1291
Fiji,1961,Number of under-five deaths,1313
Fiji,1960,Number of under-five deaths,1348